Accel X=-1.07, Accel Y=-0.08, Accel Z=9.56
Total Acceleration =Accel X=-1.08, Accel Y=-0.07, Accel Z=9.51
Total Acceleration =Accel X=-1.09, Accel Y=-0.06, Accel Z=9.53
Total Acceleration =Accel X=-1.11, Accel Y=-0.06, Accel Z=9.63
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.59
Total Acceleration =Accel X=-1.05, Accel Y=-0.06, Accel Z=9.57
Total Acceleration =Accel X=-1.07, Accel Y=-0.1, Accel Z=9.52
Total Acceleration =Accel X=-1.08, Accel Y=-0.09, Accel Z=9.53
Total Acceleration =Accel X=-1.08, Accel Y=-0.1, Accel Z=9.58
Total Acceleration =Accel X=-1.07, Accel Y=-0.11, Accel Z=9.53
Total Acceleration =Accel X=-1.1, Accel Y=-0.12, Accel Z=9.5
Total Acceleration =Accel X=-1.13, Accel Y=-0.08, Accel Z=9.56
Total Acceleration =Accel X=-1.09, Accel Y=-0.1, Accel Z=9.56
Total Acceleration =Accel X=-1.08, Accel Y=-0.09, Accel Z=9.57
Total Acceleration =Accel X=-1.09, Accel Y=-0.1, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.55
Total Acceleration =Accel X=-1.06, Accel Y=-0.08, Accel Z=9.57
Total Acceleration =Accel X=-1.09, Accel Y=-0.1, Accel Z=9.56
Total Acceleration =Accel X=-1.09, Accel Y=-0.06, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.62
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.1, Accel Z=9.54
Total Acceleration =Accel X=-1.05, Accel Y=-0.12, Accel Z=9.53
Total Acceleration =Accel X=-1.11, Accel Y=-0.1, Accel Z=9.55
Total Acceleration =Accel X=-1.07, Accel Y=-0.09, Accel Z=9.54
Total Acceleration =Accel X=-1.11, Accel Y=-0.09, Accel Z=9.59
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.59
Total Acceleration =Accel X=-1.08, Accel Y=-0.11, Accel Z=9.55
Total Acceleration =Accel X=-1.1, Accel Y=-0.1, Accel Z=9.56
Total Acceleration =Accel X=-1.12, Accel Y=-0.09, Accel Z=9.56
Total Acceleration =Accel X=-1.11, Accel Y=-0.09, Accel Z=9.54
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.55
Total Acceleration =Accel X=-1.15, Accel Y=-0.1, Accel Z=9.64
Total Acceleration =Accel X=-1.09, Accel Y=-0.09, Accel Z=9.55
Total Acceleration =Accel X=-1.04, Accel Y=-0.1, Accel Z=9.52
Total Acceleration =Accel X=-1.09, Accel Y=-0.1, Accel Z=9.56
Total Acceleration =Accel X=-1.08, Accel Y=-0.09, Accel Z=9.56
Total Acceleration =Accel X=-1.08, Accel Y=-0.1, Accel Z=9.6
Total Acceleration =Accel X=-1.08, Accel Y=-0.07, Accel Z=9.63
Total Acceleration =Accel X=-1.07, Accel Y=-0.09, Accel Z=9.62
Total Acceleration =Accel X=-1.1, Accel Y=-0.1, Accel Z=9.63
Total Acceleration =Accel X=-1.1, Accel Y=-0.11, Accel Z=9.54
Total Acceleration =Accel X=-1.1, Accel Y=-0.11, Accel Z=9.57
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.54
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.51
Total Acceleration =Accel X=-1.12, Accel Y=-0.08, Accel Z=9.51
Total Acceleration =Accel X=-1.13, Accel Y=-0.1, Accel Z=9.59
Total Acceleration =Accel X=-1.08, Accel Y=-0.1, Accel Z=9.58
Total Acceleration =Accel X=-1.09, Accel Y=-0.06, Accel Z=9.6
Total Acceleration =Accel X=-1.09, Accel Y=-0.07, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.55
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.53
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.53
Total Acceleration =Accel X=-1.1, Accel Y=-0.11, Accel Z=9.58
Total Acceleration =Accel X=-1.12, Accel Y=-0.1, Accel Z=9.63
Total Acceleration =Accel X=-1.11, Accel Y=-0.12, Accel Z=9.56
Total Acceleration =Accel X=-1.11, Accel Y=-0.11, Accel Z=9.58
Total Acceleration =Accel X=-1.09, Accel Y=-0.1, Accel Z=9.53
Total Acceleration =Accel X=-1.08, Accel Y=-0.1, Accel Z=9.54
Total Acceleration =Accel X=-1.1, Accel Y=-0.1, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.09, Accel Z=9.54
Total Acceleration =Accel X=-1.12, Accel Y=-0.1, Accel Z=9.55
Total Acceleration =Accel X=-1.07, Accel Y=-0.1, Accel Z=9.52
Total Acceleration =Accel X=-1.1, Accel Y=-0.1, Accel Z=9.58
Total Acceleration =Accel X=-1.1, Accel Y=-0.12, Accel Z=9.51
Total Acceleration =Accel X=-1.07, Accel Y=-0.11, Accel Z=9.5
Total Acceleration =Accel X=-1.09, Accel Y=-0.1, Accel Z=9.5
Total Acceleration =Accel X=-1.04, Accel Y=-0.12, Accel Z=9.51
Total Acceleration =Accel X=-1.05, Accel Y=-0.07, Accel Z=9.56
Total Acceleration =Accel X=-1.05, Accel Y=-0.08, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.56
Total Acceleration =Accel X=-1.07, Accel Y=-0.03, Accel Z=9.58
Total Acceleration =Accel X=-1.11, Accel Y=-0.09, Accel Z=9.56
Total Acceleration =Accel X=-1.12, Accel Y=-0.08, Accel Z=9.55
Total Acceleration =Accel X=-1.1, Accel Y=-0.1, Accel Z=9.54
Total Acceleration =Accel X=-1.11, Accel Y=-0.11, Accel Z=9.54
Total Acceleration =Accel X=-1.12, Accel Y=-0.09, Accel Z=9.55
Total Acceleration =Accel X=-1.12, Accel Y=-0.07, Accel Z=9.59
Total Acceleration =Accel X=-1.07, Accel Y=-0.1, Accel Z=9.61
Total Acceleration =Accel X=-1.04, Accel Y=-0.1, Accel Z=9.51
Total Acceleration =Accel X=-1.09, Accel Y=-0.08, Accel Z=9.56
Total Acceleration =Accel X=-1.09, Accel Y=-0.08, Accel Z=9.55
Total Acceleration =Accel X=-1.09, Accel Y=-0.07, Accel Z=9.55
Total Acceleration =Accel X=-1.07, Accel Y=-0.08, Accel Z=9.55
Total Acceleration =Accel X=-1.09, Accel Y=-0.04, Accel Z=9.59
Total Acceleration =Accel X=-1.07, Accel Y=-0.03, Accel Z=9.59
Total Acceleration =Accel X=-1.05, Accel Y=-0.08, Accel Z=9.58
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.52
Total Acceleration =Accel X=-1.06, Accel Y=-0.11, Accel Z=9.51
Total Acceleration =Accel X=-1.1, Accel Y=-0.09, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.1, Accel Z=9.58
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.54
Total Acceleration =Accel X=-1.11, Accel Y=-0.08, Accel Z=9.53
Total Acceleration =Accel X=-1.09, Accel Y=-0.1, Accel Z=9.51
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.57
Total Acceleration =Accel X=-1.08, Accel Y=-0.1, Accel Z=9.55
Total Acceleration =Accel X=-1.12, Accel Y=-0.09, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.57
Total Acceleration =Accel X=-1.11, Accel Y=-0.09, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.57
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.61
Total Acceleration =Accel X=-1.07, Accel Y=-0.08, Accel Z=9.52
Total Acceleration =Accel X=-1.06, Accel Y=-0.1, Accel Z=9.57
Total Acceleration =Accel X=-1.06, Accel Y=-0.12, Accel Z=9.55
Total Acceleration =Accel X=-1.07, Accel Y=-0.1, Accel Z=9.56
Total Acceleration =Accel X=-1.11, Accel Y=-0.09, Accel Z=9.54
Total Acceleration =Accel X=-1.08, Accel Y=-0.08, Accel Z=9.59
Total Acceleration =Accel X=-1.09, Accel Y=-0.06, Accel Z=9.58
Total Acceleration =Accel X=-1.09, Accel Y=-0.1, Accel Z=9.57
Total Acceleration =Accel X=-1.1, Accel Y=-0.1, Accel Z=9.55
Total Acceleration =Accel X=-1.08, Accel Y=-0.1, Accel Z=9.53
Total Acceleration =Accel X=-1.09, Accel Y=-0.1, Accel Z=9.55
Total Acceleration =Accel X=-1.08, Accel Y=-0.01, Accel Z=9.59
Total Acceleration =Accel X=-1.1, Accel Y=-0.05, Accel Z=9.59
Total Acceleration =Accel X=-1.1, Accel Y=-0.11, Accel Z=9.58
Total Acceleration =Accel X=-1.12, Accel Y=-0.1, Accel Z=9.54
Total Acceleration =Accel X=-1.08, Accel Y=-0.15, Accel Z=9.52
Total Acceleration =Accel X=-1.08, Accel Y=-0.13, Accel Z=9.52
Total Acceleration =Accel X=-1.1, Accel Y=-0.12, Accel Z=9.5
Total Acceleration =Accel X=-1.1, Accel Y=-0.05, Accel Z=9.57
Total Acceleration =Accel X=-1.06, Accel Y=-0.08, Accel Z=9.53
Total Acceleration =Accel X=-1.08, Accel Y=-0.08, Accel Z=9.56
Total Acceleration =Accel X=-1.07, Accel Y=-0.06, Accel Z=9.58
Total Acceleration =Accel X=-1.08, Accel Y=-0.1, Accel Z=9.55
Total Acceleration =Accel X=-1.04, Accel Y=-0.09, Accel Z=9.53
Total Acceleration =Accel X=-1.04, Accel Y=-0.1, Accel Z=9.57
Total Acceleration =Accel X=-1.1, Accel Y=-0.12, Accel Z=9.59
Total Acceleration =Accel X=-1.14, Accel Y=-0.13, Accel Z=9.56
Total Acceleration =Accel X=-1.13, Accel Y=-0.06, Accel Z=9.58
Total Acceleration =Accel X=-1.12, Accel Y=-0.08, Accel Z=9.63
Total Acceleration =Accel X=-1.11, Accel Y=-0.08, Accel Z=9.66
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.59
Total Acceleration =Accel X=-1.08, Accel Y=-0.08, Accel Z=9.54
Total Acceleration =Accel X=-1.1, Accel Y=-0.09, Accel Z=9.55
Total Acceleration =Accel X=-1.08, Accel Y=-0.08, Accel Z=9.57
Total Acceleration =Accel X=-1.05, Accel Y=-0.1, Accel Z=9.6
Total Acceleration =Accel X=-1.09, Accel Y=-0.09, Accel Z=9.57
Total Acceleration =Accel X=-1.12, Accel Y=-0.09, Accel Z=9.54
Total Acceleration =Accel X=-1.09, Accel Y=-0.1, Accel Z=9.6
Total Acceleration =Accel X=-1.06, Accel Y=-0.1, Accel Z=9.55
Total Acceleration =Accel X=-1.08, Accel Y=-0.1, Accel Z=9.54
Total Acceleration =Accel X=-1.1, Accel Y=-0.13, Accel Z=9.5
Total Acceleration =Accel X=-1.07, Accel Y=-0.1, Accel Z=9.56
Total Acceleration =Accel X=-1.1, Accel Y=-0.09, Accel Z=9.55
Total Acceleration =Accel X=-1.1, Accel Y=-0.09, Accel Z=9.59
Total Acceleration =Accel X=-1.08, Accel Y=-0.09, Accel Z=9.56
Total Acceleration =Accel X=-1.12, Accel Y=-0.09, Accel Z=9.51
Total Acceleration =Accel X=-1.11, Accel Y=-0.06, Accel Z=9.53
Total Acceleration =Accel X=-1.11, Accel Y=-0.08, Accel Z=9.53
Total Acceleration =Accel X=-1.07, Accel Y=-0.08, Accel Z=9.58
Total Acceleration =Accel X=-1.1, Accel Y=-0.1, Accel Z=9.59
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.57
Total Acceleration =Accel X=-1.11, Accel Y=-0.05, Accel Z=9.58
Total Acceleration =Accel X=-1.13, Accel Y=-0.07, Accel Z=9.52
Total Acceleration =Accel X=-1.06, Accel Y=-0.1, Accel Z=9.53
Total Acceleration =Accel X=-1.08, Accel Y=-0.12, Accel Z=9.46
Total Acceleration =
